,w_front,reward
0,[0. 1.],[   0. -100.]
1,[0.03125 0.96875],[   0. -100.]
2,[0.0625 0.9375],[   0. -100.]
3,[0.09375 0.90625],[   0. -100.]
4,[0.125 0.875],[   0. -100.]
5,[0.15625 0.84375],[   0. -100.]
6,[0.1875 0.8125],[   0. -100.]
7,[0.21875 0.78125],[16.1 -9. ]
8,[0.25 0.75],[16.1 -9. ]
9,[0.28125 0.71875],[16.1 -9. ]
10,[0.3125 0.6875],[16.1 -9. ]
11,[0.34375 0.65625],[16.1 -9. ]
12,[0.375 0.625],[16.1 -9. ]
13,[0.40625 0.59375],[16.1 -9. ]
14,[0.4375 0.5625],[16.1 -9. ]
15,[0.46875 0.53125],[16.1 -9. ]
16,[0.5 0.5],[ 19.6 -13. ]
17,[0.53125 0.46875],[ 19.6 -13. ]
18,[0.5625 0.4375],[ 19.6 -13. ]
19,[0.59375 0.40625],[ 19.6 -13. ]
20,[0.625 0.375],[ 19.6 -13. ]
21,[0.65625 0.34375],[ 20.3 -14. ]
22,[0.6875 0.3125],[ 20.3 -14. ]
23,[0.71875 0.28125],[ 20.3 -14. ]
24,[0.75 0.25],[ 22.4 -17. ]
25,[0.78125 0.21875],[ 20.3 -14. ]
26,[0.8125 0.1875],[ 20.3 -14. ]
27,[0.84375 0.15625],[ 22.4 -17. ]
28,[0.875 0.125],[ 23.7 -19. ]
29,[0.90625 0.09375],[ 23.7 -19. ]
30,[0.9375 0.0625],[ 23.7 -19. ]
31,[0.96875 0.03125],[ 23.7 -19. ]
32,[1. 0.],[ 23.7 -19. ]
