x,,y
1679.0,1691609759316,0.6320000290870667
2004.0,1691609768090,0.6589999794960022
3191.0,1691609781868,0.7021999955177307
4073.0,1691609793344,0.703000009059906
5086.0,1691609803490,0.7174999713897705
6102.0,1691609819007,0.7081000208854675
7178.0,1691609835775,0.7203999757766724
8061.0,1691609850835,0.7239999771118164
9003.0,1691609866312,0.7135000228881836
10003.0,1691609879168,0.7195000052452087
11043.0,1691609892801,0.7160999774932861
12042.0,1691609905936,0.7221999764442444
13257.0,1691609919882,0.7218999862670898
14023.0,1691609928732,0.7141000032424927
15045.0,1691609944590,0.7149999737739563
16055.0,1691609963076,0.7131999731063843
17082.0,1691609976779,0.7143999934196472
18052.0,1691609993612,0.7225000262260437
19068.0,1691610008499,0.7148000001907349
20142.0,1691610027551,0.71670001745224
21050.0,1691610040615,0.7131999731063843
22011.0,1691610054441,0.7207000255584717
23090.0,1691610070058,0.7131999731063843
24024.0,1691610080546,0.7166000008583069
25042.0,1691610095224,0.7081000208854675
26058.0,1691610106237,0.727400004863739
27159.0,1691610120965,0.7213000059127808
28070.0,1691610135700,0.7208999991416931
29001.0,1691610150784,0.7189000248908997
30041.0,1691610167633,0.7208999991416931
31047.0,1691610179853,0.7078999876976013
32041.0,1691610194911,0.7215999960899353
33105.0,1691610210396,0.7203999757766724
34005.0,1691610219260,0.7226999998092651
35019.0,1691610237597,0.7195000052452087
36041.0,1691610251165,0.7195000052452087
37033.0,1691610265981,0.7203999757766724
38075.0,1691610279432,0.725600004196167
39029.0,1691610297781,0.7207000255584717
40075.0,1691610308216,0.7182000279426575
41125.0,1691610326570,0.7102000117301941
42082.0,1691610338231,0.7225000262260437
43031.0,1691610353630,0.7192000150680542
44106.0,1691610371656,0.7170000076293945
45035.0,1691610384621,0.7261000275611877
46076.0,1691610399620,0.7085000276565552
47006.0,1691610417921,0.7175999879837036
48168.0,1691610435407,0.7124999761581421
49009.0,1691610449325,0.7035999894142151
50009.0,1691610463013,0.7181000113487244
51009.0,1691610479877,0.7164000272750854
52071.0,1691610492982,0.7199000120162964
53039.0,1691610512026,0.7128000259399414
54016.0,1691610526082,0.7106999754905701
55129.0,1691610540434,0.7121000289916992
56054.0,1691610556111,0.7093999981880188
57127.0,1691610572153,0.7175999879837036
58025.0,1691610587096,0.7222999930381775
59027.0,1691610597444,0.7226999998092651
60059.0,1691610611012,0.723800003528595
61071.0,1691610625474,0.7152000069618225
62010.0,1691610636579,0.7206000089645386
63046.0,1691610653277,0.705299973487854
64035.0,1691610668379,0.7121999859809875
65042.0,1691610685321,0.7138000130653381
66031.0,1691610700005,0.7092999815940857
67020.0,1691610712703,0.7125999927520752
68170.0,1691610725527,0.7181000113487244
69093.0,1691610743217,0.7174000144004822
70101.0,1691610756946,0.7182999849319458
71047.0,1691610771787,0.7167999744415283
72003.0,1691610789792,0.7236999869346619
73148.0,1691610801008,0.7179999947547913
74094.0,1691610815014,0.7197999954223633
75055.0,1691610829476,0.7146000266075134
76022.0,1691610845733,0.7225000262260437
77022.0,1691610857604,0.7131999731063843
78062.0,1691610873815,0.7239999771118164
79014.0,1691610891975,0.7166000008583069
80018.0,1691610914667,0.7027999758720398
81029.0,1691610927263,0.7027999758720398
82006.0,1691610937499,0.7246999740600586
83078.0,1691610954638,0.71670001745224
84038.0,1691610967831,0.7168999910354614
85028.0,1691610982042,0.7178999781608582
86064.0,1691610999733,0.7160000205039978
87014.0,1691611015064,0.7135999798774719
88122.0,1691611028533,0.7121999859809875
89052.0,1691611038227,0.711899995803833
90034.0,1691611049568,0.711899995803833
91056.0,1691611064524,0.7228000164031982
92074.0,1691611078644,0.7218000292778015
93024.0,1691611092480,0.7134000062942505
94023.0,1691611108876,0.7171000242233276
95049.0,1691611120169,0.7135999798774719
96026.0,1691611136006,0.7243000268936157
97062.0,1691611148998,0.7159000039100647
98100.0,1691611160375,0.7164000272750854
99030.0,1691611172467,0.7092999815940857
100180.0,1691611188240,0.7121000289916992
